,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
3969,KVY,6.0,SOFT,5,28.0,32.0,16.0,0 days 00:00:55.506000,2.0,0 days 00:00:55.552000,fp1,1097.5,0,0,1,0,2020,conventional,0 days 00:00:54.346000,0 days 00:00:53.856000,0 days 00:00:53.906000
3970,KVY,7.0,SOFT,8,33.0,40.0,16.0,0 days 00:00:58.503000,6.0,0 days 00:00:58.814500,fp1,1111.5,1,0,0,1,2020,conventional,0 days 00:00:54.346000,0 days 00:00:53.856000,0 days 00:00:53.906000
3971,OCO,3.0,SOFT,16,3.0,18.0,16.0,0 days 00:00:55.969000,6.0,0 days 00:00:56.099000,fp1,945.0,0,0,1,0,2020,conventional,0 days 00:00:54.309000,0 days 00:00:53.995000,
3972,OCO,4.0,SOFT,12,19.0,30.0,16.0,0 days 00:00:55.273000,4.0,0 days 00:00:55.448000,fp1,909.5,0,1,1,0,2020,conventional,0 days 00:00:54.309000,0 days 00:00:53.995000,
3973,OCO,5.0,SOFT,19,31.0,49.0,16.0,0 days 00:00:58.383000,15.0,0 days 00:00:58.854000,fp1,1116.0,1,0,0,1,2020,conventional,0 days 00:00:54.309000,0 days 00:00:53.995000,
3974,VER,1.0,SOFT,10,1.0,10.0,16.0,0 days 00:00:55.350000,2.0,0 days 00:00:55.491500,fp1,1109.5,1,0,1,0,2020,conventional,0 days 00:00:54.037000,0 days 00:00:53.647000,0 days 00:00:53.433000
3975,VER,2.0,SOFT,9,11.0,19.0,16.0,0 days 00:00:54.722000,3.0,0 days 00:00:54.848000,fp1,968.0,0,1,1,0,2020,conventional,0 days 00:00:54.037000,0 days 00:00:53.647000,0 days 00:00:53.433000
3976,VER,3.0,SOFT,10,20.0,29.0,16.0,0 days 00:00:57.702000,8.0,0 days 00:00:58.241500,fp1,1101.5,0,0,0,1,2020,conventional,0 days 00:00:54.037000,0 days 00:00:53.647000,0 days 00:00:53.433000
3977,SAI,4.0,SOFT,8,21.0,28.0,16.0,0 days 00:00:55.757000,3.0,0 days 00:00:55.913000,fp1,1028.0,0,0,1,0,2020,conventional,0 days 00:00:54.450000,0 days 00:00:53.818000,0 days 00:00:54.010000
3978,SAI,6.0,SOFT,12,30.0,41.0,16.0,0 days 00:00:58.928000,10.0,0 days 00:00:59.117000,fp1,1109.5,1,0,0,1,2020,conventional,0 days 00:00:54.450000,0 days 00:00:53.818000,0 days 00:00:54.010000
